Carnegie Asset Management,Carnegie WorldWide LongShort Fund,Equity LS,Discretionary,Fundamental,Global
Carrousel Capital,Centrix IX Fund Ltd,CTA,Systematic,AI,Global
Carter Road,Options Overlay Strategy,CTA,Discretionary,Option Strategy,Global
Carum Consulting AG,Carum Capital Management Global Fund Ltd.,CTA,Fund of Funds,Diversified,Global
CARUS-AR,CARUS-AR,Crypto,Crypto,Crypto,Crypto
Carve Capital,Carve 2,Hedge Fund,Discretionary,Fundamental,Global
Catalyst Capital Advisors,Hedged Commodity Strategy,CTA,Discretionary,Fundamental,Commodity
Catalyst Capital Advisors,Hedged Futures Strategy,CTA,Discretionary,Option Strategy,Equity
Catalyst Capital Advisors,Millburn Hedge Strategy Fund,CTA,Systematic,Trend Following,Global
Catalyst Capital Advisors,Multi-Strategy,CTA,Systematic,Multi Strategy,Global
Catalyst Capital Advisors,Time Value Trading,CTA,Discretionary,Option Writer,Equity
Catalyst Funds,Systematic Alpha,RiskPremia,Systematic,Multi Strategy,Global
Catalyst/Lyons,Catalyst/Lyons Tactical Allocation,AssetAllocation,Systematic,Quality,Equity
Catella Fondforvaltning,Catella Credit Opportunity,Fixed Income,Credit,Fundamental,Nordic
Catella Fondforvaltning,Catella Hedgefond,Hedge Fund,Discretionary,Fundamental,Nordic
Catella Fondforvaltning,Catella Nordic Corporate Bond Flex,Fixed Income,Credit,Fundamental,Nordic
Catella Fondforvaltning,Catella Nordic Long Short Equity,Equity LS,Discretionary,Fundamental,Nordic
Cauldron Investments,Dynamic Market,CTA,Systematic,Multi Strategy,Global
Cauldron Investments,Stock Index Plus,CTA,Systematic,Multi Strategy,Equity
Cauldron Investments,Systematic,CTA,Systematic,Multi Strategy,Global
Causeway,Causeway Global Absolute Return Instl,Equity LS,Discretionary,Fundamental,Global
Cavalier,Cavalier Growth Opportunities,LongOnly,Systematic,Sector,Equity
Cavalier,Cavalier Tactical Economic,AssetAllocation,Systematic,Diversified,Global
Cavalier,Cavalier Tactical Rotation,LongOnly,Systematic,Sector,Equity
Cayler Capital,Cayler Energy Program,CTA,Discretionary,Fundamental,Energy
Cayler Capital,Systematic Energy Diversified,CTA,Systematic,Fundamental,Energy
Cazadores Investments,Cazadores Commodity Alpha,CTA,Systematic,Multi Strategy,Commodity
CBE Vault Index,CBEVAULT,Crypto,Crypto,Crypto,Crypto
CC Futures,CoolBoy Commodity,CTA,Systematic,Trend Following,Global
CC Futures,Triple Commodity,CTA,Systematic,Trend Following,Global
CCTrack Solutions,ParityTrack,LongOnly,Risk Parity,Diversified,Global
CCTrack Solutions,ParityTrack Equity,LongOnly,Risk Parity,Diversified,Global
CDAM,Global Opportunities (Keplar),Equity LS,Discretionary,Fundamental,Global
CEC Capital,CEC Macro Dynamics,CTA,Systematic,Trend Following,Global
Cederberg Capital,Greater China (Banor),Equity LS,Discretionary,Fundamental,Asia
Celerity Fx,Global Monetary Program,CTA,Discretionary,Fundamental,Currency
Centa Asset Management,Centa FXDP,CTA,Discretionary,Fundamental,Currency
Centurion Investment Management,1x Composite Performance,CTA,Systematic,Short Term,Global
Centurion Investment Management,2X Composite,CTA,Systematic,Short Term,Global
Centurion Investment Management,Zero Margin,CTA,Systematic,Short Term,Global
CenturionFx,CenturionFX - 6X,CTA,Systematic,Multi Strategy,Currency
CenturionFx,Sestertium,CTA,Systematic,Multi Strategy,Currency
Century Analytics,CenturyOne,CTA,Systematic,AI,Currency
Ceres Funds Management,Agricultural Program,CTA,Discretionary,Fundamental,Agricultural
Ceres Funds Management,Agricultural Program 1.5x,CTA,Discretionary,Fundamental,Agricultural
Ceros AG,Ceros-Neumann Managed Account,CTA,Systematic,Short Term,Global
Ceros AG,Dax Managed Futures,CTA,Systematic,Short Term,Equity
Certeza Asset Management,Macro Vega,CTA,Systematic,Market Neutral,Volatility
Certeza Asset Management,Omni,CTA,Systematic,Market Neutral,Global
Certeza Asset Management,Tactical Volatility,CTA,Discretionary,Market Neutral,Volatility
Cervino Capital Management,Diversified Options Strategy 1X,CTA,Systematic,Option Strategy,Global
Cervino Capital Management,Diversified Options Strategy 2X,CTA,Systematic,Option Strategy,Global
Cervino Capital Management,Gold Covered Call Writing,CTA,Systematic,Option Writer,Metal
Chadwick & D'Amato,Chadwick & D'Amato,AssetAllocation,Systematic,Diversified,Global
Chadwick Investment Group,Global Trend Following,CTA,Systematic,Trend Following,Global
Chaika Trading,Commodity Carry Program,CTA,Systematic,Market Neutral,Global
Chamaeleo Capital Management,Chamaeleo Optimus,CTA,Systematic,Multi Strategy,Global
Charlemagne,Oaks Emerging and Frontier,Equity LS,Discretionary,Fundamental,Emerging
Chelona Capital GP,Chelona Systematic Strategies LP,CTA,Systematic,Multi Strategy,Global
Chelton Wealth,Balanced Compounding,CTA,Systematic,Short Term,Currency
Chelton Wealth,Chelton Wealth Alternativ,CTA,Discretionary,Fundamental,Global
Chelton Wealth,Chelton Wealth Alternative II,CTA,Systematic,Short Term,Currency
Chelton Wealth,Currency Al,CTA,Systematic,AI,Currency
Chenavari,Credit Strategy (Lyxor),Fixed Income,Discretionary,Multi Strategy,Credit
Chesapeake Capital Corporation,Diversified Plus (HV),CTA,Systematic,Trend Following,Global
Chesapeake Capital Corporation,Diversified Program Plus,CTA,Systematic,Trend Following,Global
Chesapeake Capital Corporation,Equinox Chesapeake Strategy,CTA,Systematic,Trend Following,Global
Cheyne,Cheyne Arbitrage (U Access),Event Driven,MergerArb,Fundamental,Global
Cheyne,Convertibles Absolute Return,Fixed Income,Discretionary,Convertible,Global
Cheyne,Enhanced Global Credit,Fixed Income,Discretionary,Multi Strategy,Credit
Cheyne,Global Credit,Fixed Income,Discretionary,Multi Strategy,Credit
Chicago Capital Management,Spread Arbitrage Aggressive Program,CTA,Discretionary,Market Neutral,Commodity
Chicago Capital Management,Spread Arbitrage Proprietary Program,CTA,Discretionary,Market Neutral,Commodity
Chicago Capital Management,Strategic Option Writing Strategy,CTA,Discretionary,Option Writer,Global
Chilton,Equity Long Short (Franklin K2),Equity LS,Discretionary,Fundamental,US
Chilton,Global Strategies,Equity LS,Discretionary,Fundamental,Global
China CR Capital Holdings Limited,CR-Wellington AI Fund SPC / SP1,Hedge Fund,Systematic,AI,Global
Chinaamc,China Growth,Equity LS,Discretionary,Fundamental,Asia
CIBC Asset Management,CIBC Abs Return Active Currency 12% Ris,CTA,Discretionary,Fundamental,Currency
CIBC Asset Management,CIBC Unconstrained Active Currency Fund,CTA,Discretionary,Fundamental,Currency
CIFC,Long Short Credit,Fixed Income,Discretionary,Fundamental,Global
Cinneas Foreign Exchange,Cinneas,CTA,Discretionary,Fundamental,Currency
City Fund Management,AMAC,CTA,Systematic,Option Strategy,Global
City Fund Management,ANK,CTA,Systematic,Short Term,Global
City Fund Management,BB,CTA,Systematic,Short Term,Global
City Fund Management,BH,CTA,Systematic,Trend Following,Global
City Fund Management,C8,CTA,Systematic,Short Term,Global
City Fund Management,DXF01 Strategy,CTA,Systematic,Short Term,Global
City Fund Management,FC Strategy,CTA,Systematic,Short Term,Global
City Fund Management,GST Strategy,CTA,Systematic,Short Term,Global
City Fund Management,HZ Strategy,CTA,Systematic,Short Term,Global
City Fund Management,LC,CTA,Systematic,Short Term,Global
City Fund Management,M2T,CTA,Discretionary,Fundamental,Equity
City Fund Management,ORI,CTA,Systematic,Short Term,Global
City Fund Management,PB Strategy,CTA,Systematic,Short Term,Global
City Fund Management,PF Strategy,CTA,Systematic,Short Term,Global
City Fund Management,Single Strategy - ECLV,CTA,Discretionary,Technical,Global
City Fund Management,Single Strategy - STIRB01,CTA,Systematic,Short Term,Global
City Fund Management,SRM Strategy,CTA,Systematic,Short Term,Global
CKP Consulting,AAR Trading Program,CTA,Systematic,Option Writer,Global
Claravista Capital Management,Thuban,CTA,Systematic,Trend Following,Global
Claret Asset Management Corporation,Global Multi-Asset,CTA,Systematic,Trend Following,Global
Clarity Capital Management,Clarity Capital Management,CTA,Systematic,Option Strategy,Equity
Clarke Capital Management,FXF-Plus Program,CTA,Systematic,Trend Following,Currency
Clarke Capital Management,Global Basic Program,CTA,Systematic,Trend Following,Global
Clarke Capital Management,Global Magnum Program,CTA,Systematic,Trend Following,Global
Clarke Capital Management,Jupiter Program,CTA,Systematic,Trend Following,Global
Clarke Capital Management,Millennium Program,CTA,Systematic,Trend Following,Global
Clarke Capital Management,Orion,CTA,Systematic,Multi Strategy,Global
Clarke Capital Management,Worldwide Program,CTA,Systematic,Trend Following,Global
Claughton Capital,ARP Institutional Program,CTA,Systematic,Short Term,Global
Clavis Capital ApS,Clavis Fond I AS,Market Neutral,Discretionary,Fundamental,Europe
Clear Peak Capital,UK Long/Short Equity,Equity LS,Discretionary,Fundamental,UK
ClearQuest Capital,TruTrend Global Futures,CTA,Systematic,Multi Strategy,Global
Clinamen Financial Group,VIX Portfolio Hedging (VXH) Program - Proprietary,CTA,Systematic,Short Term,Volatility
Clinamen Financial Group,Volatility Arbitrage Program,CTA,Systematic,Market Neutral,Volatility
Clough Global,Clough Global Long/Short,Equity LS,Discretionary,Fundamental,Global
CMG,Mauldin Core,AssetAllocation,Discretionary,Diversified,Global
CNV Capital Management,Adaptive Alpha Strategy (Client),CTA,Systematic,Multi Strategy,Global
CNV Capital Management,Adaptive Alpha Strategy (Prop),CTA,Systematic,Multi Strategy,Global
Coeli Asset Management,Capital Growth Strategy,Hedge Fund,Discretionary,Multi Strategy,Global
Coeli Asset Management,Capital Preservation Strategy,Hedge Fund,Discretionary,Multi Strategy,Global
Coeli Asset Management,Coeli Absolute European Equity,Equity LS,Discretionary,Fundamental,Europe
Coeli Asset Management,Coeli Altrua Macro,CTA,Systematic,Fundamental,Global
Coeli Asset Management,Coeli Energy Transition,Equity LS,Discretionary,Fundamental,Energy
Coeli Asset Management,Coeli Multi Asset,Hedge Fund,Discretionary,Multi Strategy,Global
Coeli Asset Management,Coeli Multistrategi,Hedge Fund,Fund of Funds,Diversified,Nordic
Coeli Asset Management,Coeli Norrsken,Event Driven,MergerArb,Fundamental,US
Coeli Asset Management,Coeli Prognosis Machines,CTA,Systematic,AI,Global
Cogent Energy Investment Management,Commodity Strategy,CTA,Discretionary,Fundamental,Energy
COGITAM,COGITAM Systematic Program,CTA,Systematic,Short Term,Global
Cognios,Cognios Market Neutral Large Cap,Market Neutral,Discretionary,Fundamental,Global
Cognition Investment Partners,Asymmetric Convergence Macro,CTA,Discretionary,Fundamental,Global
Cohalo Advisory,Dynamic Volatility Strategies - Futures,CTA,Discretionary,Fundamental,Volatility
Cohalo Advisory,Futures,CTA,Discretionary,Option Strategy,Global
COINBEST,CBST COINBEST I,Crypto,Crypto,Crypto,Crypto
Coincident Capital,Coincident,Crypto,Crypto,Crypto,Crypto
Coloma Capital Futures,Coloma Capital Futures,CTA,Systematic,Short Term,Volatility
Coloma Capital Futures,Hedged Volatility,CTA,Discretionary,Fundamental,Global
Columbia,Columbia Adaptive Risk Allocation,LongOnly,Risk Parity,Diversified,Global
Columbia,Managed Futures Strategy Fund,CTA,Systematic,Trend Following,Global
Columbia Threadneedle Investments,Absolute Return Currency and Income,CTA,Systematic,Multi Strategy,Currency
Commodities Analytics,Daily Analytics,CTA,Discretionary,Short Term,Global
Commodity Asset Management,Futures Only,CTA,Discretionary,Fundamental,Metal
Commodity Capital,Inflation Protector Trading Program (P),CTA,Systematic,Multi Strategy,Commodity
Commodity Futures Services,IPATS,CTA,Systematic,Trend Following,Global
Commodity Strategies AG,CSAG Active Long Only Commodity Program,LongOnly,Systematic,Multi Strategy,Commodity
Commodity Strategies AG,CSAG Active Long Short Commodity Program,CTA,Systematic,Multi Strategy,Commodity
Commonwealth Avenue Asset Management Private,CAAMCO Absolute Return Strategy,CTA,Systematic,AI,Global
Compak Alternative Investments,Stock Index Option Writing Program,CTA,Discretionary,Option Writer,Equity
Compass Asset Management SA,Compass Eagle Trend,CTA,Systematic,Trend Following,Global
Concord Managed Futures Corporation,Dream Futures Fund,CTA,Systematic,Multi Strategy,Global
Concorde Finance S A,Concorde Diversified Futures,CTA,Discretionary,Technical,Commodity
Conover Investments,Oil Trading Program,CTA,Discretionary,Fundamental,Energy
Conquest Capital Group,Conquest Macro,CTA,Systematic,Short Term,Global
Conquest Capital Group,Conquest STAR,CTA,Systematic,Short Term,Global
Conquest Capital Group,Conquest STAR UCITS,CTA,Systematic,Short Term,Global
Conquest Capital Group,Managed Futures Select,CTA,Systematic,Short Term,Global
Conquest Capital Group,Managed Futures Select 0.75x,CTA,Systematic,Trend Following,Global
Conservative Concept AG,Athena UI Fund,CTA,Systematic,Market Neutral,Volatility
Conservative Concept AG,TriStone UI Fund,CTA,Systematic,Market Neutral,Europe
Contour Asset Management,Tech Long/Short (Schroders),Equity LS,Discretionary,Fundamental,Technology
Contrarian Investors,Managed Futures,CTA,Systematic,Contrarian,Commodity
Contrarian Investors,Managed Futures Program (P),CTA,Systematic,Contrarian,Commodity
CONTRENDIAN,CONTRENDIAN Master F,CTA,Systematic,Multi Strategy,Global
Convergence,Convergence Market Neutral,Market Neutral,Systematic,Fundamental,US
Cooper Creek,North America Long Short Equity (ML),Equity LS,Discretionary,Fundamental,US
Core Global Capital,Core Global Diversified Program,CTA,Systematic,Trend Following,Global
CoreCommodity Management,Diversified I Fund,LongOnly,Active Index,Diversified,Commodity
CoreCommodity Management,Diversified Portable Alpha,CTA,Discretionary,Fundamental,Commodity
CoreCommodity Management,Founders Absolute Return (FAR),CTA,Discretionary,Fundamental,Commodity
CoreCommodity Management,Founders I Fund,LongOnly,Active Index,Diversified,Commodity
Corepoint Capital AG,EDGE - Tail Risk Protection,CTA,Systematic,Option Strategy,Volatility
Counterpoint,Convergence Long/Short Equity,Equity LS,Systematic,AI,Global
Counterpoint,Counterpoint Tactical Equity,Equity LS,Systematic,Market Timing,Global
County Cork,Acclivity Low Leverage (LL),AssetAllocation,Systematic,Multi Strategy,Global
County Cork,Acclivity Program,AssetAllocation,Systematic,Multi Strategy,Global
County Cork,Ag Long/Short Program,CTA,Systematic,Multi Strategy,Agricultural
County Cork,B & B,CTA,Discretionary,Fundamental,Commodity
County Cork,Commodity L/S Strategy,CTA,Systematic,Short Term,Commodity
County Cork,Commodity Long and Short Pro,CTA,Systematic,Multi Strategy,Global
County Cork,Fusion Equities,CTA,Systematic,Multi Strategy,Equity
County Cork,Macro Equity Hedge,AssetAllocation,Systematic,Multi Strategy,Global
County Cork,Metals and Energy Long/Short Program,CTA,Systematic,Fundamental,Commodity
County Cork,RLA I Program,CTA,Discretionary,Fundamental,Agricultural
Covenant Capital Management,Aggressive Program,CTA,Systematic,Multi Strategy,Global
Covenant Capital Management,Hedged Equity,CTA,Systematic,Multi Strategy,Equity
Covenant Capital Management,Optimal Program,CTA,Systematic,Multi Strategy,Global
Covenant Capital Management,Original Program,CTA,Systematic,Multi Strategy,Global
Covenant Capital Management,Tactical Growth Program,CTA,Systematic,Multi Strategy,Global
Covenant Capital Management,Total Volatility Program,CTA,Systematic,Option Strategy,Equity
Covid 19,AM16PORTFOLIO,Crypto,Crypto,Crypto,Crypto
CP Capital,Commodity Process Strategy,CTA,Systematic,Fundamental,Commodity
Crabel Capital Mgmt,Buethe Crabel Div. Futures 4X,CTA,Systematic,Short Term,Global
Crabel Capital Mgmt,Crabel Advanced Trend,CTA,Systematic,Trend Following,Global
Crabel Capital Mgmt,Crabel Contra 1x,CTA,Systematic,AI,Global
Crabel Capital Mgmt,Crabel Div. Futures 4X,CTA,Systematic,Short Term,Global
Crabel Capital Mgmt,Crabel Gemini,CTA,Systematic,Short Term,Global
Crabel Capital Mgmt,Crabel Multi-Product,CTA,Systematic,Short Term,Global
Crabel Capital Mgmt,Crabel Two Plus Program,CTA,Systematic,Trend Following,Global
Crabel Capital Mgmt,Crabel WPD Futures,CTA,Systematic,Short Term,Global
Crabel Capital Mgmt,Hansen Crabel Diversified,CTA,Systematic,Short Term,Global
Crabel Capital Mgmt,Hansen Crabel Diversified Comprehensive Program,CTA,Systematic,Short Term,Global
Cranwood Capital Management,Fixed Income Arbitrage Fund,CTA,Systematic,Market Neutral,Fixed Income
Craton Crypto,CRATON,Crypto,Crypto,Crypto,Crypto
Crawford Lake,US Equities,Equity LS,Discretionary,Fundamental,US
Creative Derivative Management,CDM Agricultural Program,CTA,Discretionary,Fundamental,Agricultural
Credit Suisse Asset Management,Commodity Index Plus,LongOnly,Active Index,Enhanced Index,Commodity
Credit Suisse Asset Management,CommodityAllocation,LongOnly,Active Index,Enhanced Index,Commodity
Credit Suisse Asset Management,Convert International Bond,Fixed Income,Discretionary,Convertible,Global
Credit Suisse Asset Management,European Dividend Value,LongOnly,Active Index,Value,Equity
Credit Suisse Asset Management,European Dividend Value Fund,LongOnly,Active Index,Value,Equity
Credit Suisse Asset Management,Liquid Alternative,RiskPremia,Systematic,Multi Strategy,Global
Credit Suisse Asset Management,Managed Futures Strategy Fund,CTA,Fund of Funds,Diversified,Global
Credit Suisse Asset Management,Prima Multi-Strategy,Hedge Fund,Fund of Funds,Diversified,Global
Credit Suisse Asset Management,Small and Mid Cap Long Short Alpha,Equity LS,Discretionary,Fundamental,Europe
Crediton Hill,Managed Account,CTA,Discretionary,Short Term,Equity
Crescent Bay Capital Management,Balanced Volatility Program,CTA,Discretionary,Option Writer,Equity
Crescent Bay Capital Management,Conservative Growth Index Program,CTA,Discretionary,Option Writer,Equity
Crescent Bay Capital Management,Premium Stock Index Program,CTA,Discretionary,Option Writer,Equity
Crescit Asset Management,Crescit,CTA,Discretionary,Multi Strategy,Global
Crescit Asset Management,Crescit Protect,CTA,Discretionary,Option Writer,Equity
Cresendo Capital Management,Neutron Decay (Prop),CTA,Systematic,Option Writer,Global
Cresendo Capital Management,Neutron Decay Strategy,CTA,Systematic,Option Writer,Global
Crg Partners,Investment Program,CTA,Discretionary,Fundamental,Global
CRM,Long/Short Opportunities,Equity LS,Discretionary,Fundamental,US
CrossBorder Capital,AR Systematic Macro Strategy,CTA,Systematic,Multi Strategy,Global
Crossbow Partners AG,Alpjen Global Systematic Equity Futures,CTA,Systematic,Short Term,Equity
Crow Point,Crow Point Global Tactical Alloc,AssetAllocation,Discretionary,Diversified,Global
Crow Trading,Crow Trading Inc.,CTA,Discretionary,Fundamental,Commodity
Crow Trading,Non QEP,CTA,Discretionary,Fundamental,Commodity
Crush,CCC Crush Crypto Core,Crypto,Crypto,Crypto,Crypto
CrypTezuma,BITFOLIO,Crypto,Crypto,Crypto,Crypto
Crypto Balance,NALUNO,Crypto,Crypto,Crypto,Crypto
Crypto Fund AG,Mythenstein Fund Ltd.,Crypto,Crypto,Crypto,Crypto
Crypto Fund AG,Systematic DLT Fund,Crypto,Crypto,Crypto,Crypto
Crypto Future,GAMERINC,Crypto,Crypto,Crypto,Crypto
Crypto Future Investing Fund,CRYPTOFUTUREINVESTINGFUND,Crypto,Crypto,Crypto,Crypto
Crypto Global Management - UK,CRYPTOGLOBALUK,Crypto,Crypto,Crypto,Crypto
Crypto Global Management UK - Passive,2020FEB,Crypto,Crypto,Crypto,Crypto
Crypto Knowledge Pool,Crypto Knowledge Pool,Crypto,Crypto,Crypto,Crypto
Crypto Lotus,Crypto Lotus Fund,Crypto,Crypto,Crypto,Crypto
Crypto-Base EU,Crypto-Base.eu Strategy,Crypto,Crypto,Crypto,Crypto
CryptoBase,CryptoBase,Crypto,Crypto,Crypto,Crypto
CryptoBets2021,CRYPTOBETS2021,Crypto,Crypto,Crypto,Crypto
CryptoBoard Static,CRYPTOBOARDSTATIC,Crypto,Crypto,Crypto,Crypto
CryptoChris,CryptoChris,Crypto,Crypto,Crypto,Crypto
Cryptofund Global,CRYPTOFUNDGLOBAL,Crypto,Crypto,Crypto,Crypto
Cryptoindex Capital Management,Cryptoindex Capital Partners LP,Crypto,Crypto,Crypto,Crypto
Cryptolab Capital,Cryptolab Algorithmic Btc2,Crypto,Crypto,Crypto,Crypto
Cryptolab Capital,Cryptolab Algorithmic USD,Crypto,Crypto,Crypto,Crypto
CryptoPotato,CryptoPotato,Crypto,Crypto,Crypto,Crypto
Cryptos Fund,Cryptos Fund,Crypto,Crypto,Crypto,Crypto
CryptoStars Hedge Fund,CRYPTOHEDGE,Crypto,Crypto,Crypto,Crypto
Cryptovest,CRYPTOVEST,Crypto,Crypto,Crypto,Crypto
Cryptoyou Found,CRYPTOGIC,Crypto,Crypto,Crypto,Crypto
Crystal Tower Advisors,Crystal Tower Futures,CTA,Systematic,Short Term,Global
CSorg,Crypto Investment Fund,Crypto,Crypto,Crypto,Crypto
CTS Asset Management,Diversified II Program,CTA,Systematic,Multi Strategy,Global
CTS Asset Management,Flagship Program,CTA,Systematic,Short Term,Global
CTS Asset Management,Short-Term Systematic (STS) Program,CTA,Systematic,Short Term,Global
Culross,Global Macro,Hedge Fund,Discretionary,Multi Strategy,Global
Cunningham Asset Management,Alexys Partners,CTA,Systematic,Trend Following,Global
Currency Insight,Diversified Systematic FX Programme,CTA,Systematic,Multi Strategy,Currency
Currency Insight,Global Currency Program,CTA,Systematic,Fundamental,Currency
CVR,Dynamic Allocation Institutional,LongOnly,Discretionary,Dynamic,Equity
CXC Investments,CXC 1,Equity LS,Discretionary,Fundamental,US
Cyber Capital BV,Cyber Capital Alpha A,Crypto,Crypto,Crypto,Crypto
Cyber Capital BV,Cyber Capital Fund A,Crypto,Crypto,Crypto,Crypto
Cypher Asset,Diversified Alpha,Crypto,Crypto,Crypto,Crypto
Cypher Asset,Global Currency,CTA,Systematic,Multi Strategy,Global
Cypress Capital Management,Classic,CTA,Discretionary,Technical,Agricultural
Cypress Energy Capital Mgmt LP,Cypress Energy,CTA,Discretionary,Fundamental,Energy
Cypress Partners,Cypress Commodity,CTA,Discretionary,Technical,Commodity
CZ,Absolute Alpha,Equity LS,Discretionary,Fundamental,UK
Da Vinci Invest,Da Vinci Arbitrage Funds Class I,CTA,Systematic,Option Strategy,Global
Dagoda Core David Vegelj,DAGODACORE,Crypto,Crypto,Crypto,Crypto
Dairy Opportunities,Dairy Opportunities,CTA,Discretionary,Fundamental,Agricultural
Daksh Asset Management Limited,Visorr,CTA,Systematic,Multi Strategy,Volatility
Dalton Investments,Asia Pacific L/S,Equity LS,Discretionary,Fundamental,Asia
Dalton Strategic Partnership,Melchior Systematic Global Macro,CTA,Systematic,Multi Strategy,Global
Dalton Strategic Partnership,Velox,Market Neutral,Discretionary,Fundamental,Europe
Dalton Street Capital Pty,Diversified Futures,CTA,Systematic,Multi Strategy,Global
Daniel Leslie Greaves,VIRTUE1,Crypto,Crypto,Crypto,Crypto
Danske Bank Asset Management,Danske Invest Eastern Europe Absolute,Equity LS,Discretionary,Fundamental,Europe
Danske Bank Asset Management,Danske Invest Europe LongShort Equity Factors,Equity LS,Discretionary,Fundamental,Equity
Danske Bank Asset Management,Danske Invest Fixed Income Global Value,Fixed Income,Discretionary,Fundamental,Global
Danske Bank Asset Management,Danske Invest Fixed Income Relative Value,Fixed Income,Discretionary,Market Neutral,Global
Danske Bank Asset Management,Danske Invest Global Cross Asset Volatility,CTA,Discretionary,Multi Strategy,Volatility
Danske Bank Asset Management,Danske Invest Global Macro Hedge Fund,CTA,Discretionary,Fundamental,Global
Danske Bank Asset Management,Danske Invest Hedge Fixed Income Strategies,Fixed Income,Discretionary,Market Neutral,Global
Danske Bank Asset Management,Danske Invest Hedge Mortgage Arbitrage,Fixed Income,Discretionary,Market Neutral,MBS
Danske Invest Fund Management,Danske Invest Eliksir FoHF,Hedge Fund,Fund of Funds,Diversified,Europe
Danske Invest Fund Management,Danske Invest Europe LongShort Dynamic,Equity LS,Discretionary,Fundamental,Europe
Darewind,Commodity Strategy,CTA,Discretionary,Fundamental,Commodity
David Derwin - PI Financial Corp,Diversified Pattern & Trend,CTA,Systematic,Trend Following,Global
David Derwin - PI Financial Corp,Diversified Pattern Trend,CTA,Systematic,Trend Following,Global
Davidaiz,DAVIDAIZ,Crypto,Crypto,Crypto,Crypto
Davis Commodities,Agricultural Program,CTA,Discretionary,Fundamental,Agricultural
Day Hagan,Tactical Allocation,AssetAllocation,Systematic,Diversified,Global
Daylight Asset Management,OptionHedging Program,CTA,Discretionary,Option Strategy,Equity
DCI,Market Neutral Credit,Fixed Income,Systematic,Market Neutral,Global
DCM Systematic GP,Diversified Alpha,CTA,Systematic,Multi Strategy,Global
Dearborn Capital Management,Grant Park Futures Fund,CTA,Fund of Funds,Diversified,Global
Dearborn Capital Management,Grant Park Managed Futures,CTA,Fund of Funds,Diversified,Global
Decalia,Muse,Equity LS,Systematic,Multi Strategy,Global
Decentral Park Capital,Decentral Park Capital LP,Crypto,Crypto,Crypto,Crypto
Decentralized Economy,DECENTRALIZEDECONOMY,Crypto,Crypto,Crypto,Crypto
Deep Field Capital,Active Intraday Momentum,CTA,Systematic,Short Term,Equity
Deep Field Capital,Intraday Convexity Capture (ICC),CTA,Systematic,Short Term,Volatility
Deep Field Capital,Intraday Crisis Alpha,CTA,Systematic,Short Term,Equity
Deep Field Capital,SAR Adaptive Asset Allocation (AAA),CTA,Systematic,Multi Strategy,Global
Deep Field Capital,Singularity Fund (2x),CTA,Systematic,Multi Strategy,Global
Deep Field Capital,Singularity Liquid Equity Alpha (LEA),CTA,Systematic,Multi Strategy,Global
Deep Field Capital,Singularity Program,CTA,Systematic,Multi Strategy,Global
Deep Field Capital,Systematic Volatility Arbitrage,CTA,Systematic,Market Neutral,Volatility
DeFi  Core,DeFi  Core,Crypto,Crypto,Crypto,Crypto
DeFi Ecosystem,DEFIECOSYSTEM,Crypto,Crypto,Crypto,Crypto
Defi Next,Defi Next,Crypto,Crypto,Crypto,Crypto
DeFicious Index,DEFICIOUS,Crypto,Crypto,Crypto,Crypto
Degraves Capital Management,Global Diversified,CTA,Systematic,Short Term,Global
Delta Capital,Delta Hybrid - Client,CTA,Systematic,Contrarian,Global
Delta1trader Technology AG,AI Deep Markets,CTA,Systematic,AI,Global
DeltaCore Capital,Deltacore Digital Assets,Crypto,Crypto,Crypto,Crypto
DeltaHedge R&O,DH Boote,CTA,Systematic,Multi Strategy,Global
DeltaHedge R&O,DH Nix,CTA,Systematic,Multi Strategy,Equity
DeltaHedge R&O,DH Nix Alpha,CTA,Systematic,Short Term,Equity
DeltaHedge R&O,DH Spica Program,CTA,Fund of Funds,Diversified,Global
DeltaHedge R&O,DH Stella,CTA,Systematic,Multi Strategy,Equity
DeltaHedge R&O,DH Styx,CTA,Systematic,Short Term,Currency
DeltaHedge R&O,Toutatis Fund,CTA,Fund of Funds,Diversified,Global
DeltaHedge R&O,VIXVOX 2,CTA,Systematic,Market Neutral,Volatility
Deltaone Trading,Options Spread Program,CTA,Systematic,Multi Strategy,Volatility
Demeter Capital Management,Livestock & Grain Trading Program,CTA,Discretionary,Fundamental,Agricultural
Denali Asset Management,Denali Partners Strategy,CTA,Discretionary,Fundamental,Global
Dendrich,QEP,CTA,Discretionary,Fundamental,Global
DeSoto Capital Management,EMini Program,CTA,Systematic,Short Term,Equity
Dexia Asset Management,Dexia Diversified Futures,CTA,Systematic,Trend Following,Global
Di Tomasso Group,Equilibrium Trading,CTA,Discretionary,Fundamental,Commodity
Diakoneo Capital Management,Diakoneo Steel Fund LP,CTA,Systematic,Multi Strategy,Global
Diamond Capital Management,Diamond Enhanced Solutions (DES),CTA,Systematic,Multi Strategy,Equity
Diamond Capital Management,Enhanced S&P Program,CTA,Systematic,Multi Strategy,Equity
Diamond Capital Management,Options Program,CTA,Discretionary,Option Writer,Equity
Diamond Capital Management,Stock Index Options,CTA,Discretionary,Option Writer,Equity
Diamond Hill,Diamond Hill Long-Short,Equity LS,Discretionary,Value,US
Diamond Hill,Diamond Hill Research Opportunities,Equity LS,Discretionary,Value,US
Diamond Peak Capital,Northstar (2x) program,CTA,Systematic,Multi Strategy,Equity
